TOTALNUMBEROFRECIPIENTS,TOTALNUMBEROFCLAIMS,TOTALDOLLARAMOUNTOFCLAIMS,PROVIDERNAME,PROVIDER TYPE,PROVIDER PRIMESSPECIALTY,PROVIDER ADDR STREET1,PROVIDER ADDR STREET2,PROVIDER ADDR CITY,PROVIDER ADDR STATE,PROVIDER ZIP CODE,PROVIDER GEO LATITUDE,PROVIDER GEO LONGITUDE,DOMINANTDIAGNOSIS
31,49,1547,THE FOOT DOC LLC,Podiatrist,Podiatrist,2346 S LYNHURST STE 707,,INDIANAPOLIS,IN,46241,39.733074,-86.250322,Type 2 diabetes mellitus without complications
82,87,6336,INDIANA CLINIC,Clinic,Medical Clinic,1115 RONALD REAGAN PKWY #318,,AVON,IN,46123,39.778651,-86.34355,"Acute upper respiratory infection, unspecified                                                      "
54,97,8712,ST ELIZABETH PHYSICIANS,Physician,Neurologist,351 CENTREVIEW BLVD,,CRESTVIEW HILLS,KY,41017,39.03339,-84.56566,Encntr for routine child health exam w/o abnormal findings
53,183,4008,CVS PHARMACY #6756,Pharmacy,Pharmacy,201 E TIPTON ST,,SEYMOUR,IN,47274,38.95723,-85.88671,Type 2 diabetes mellitus without complications
23,53,1247,WALGREENS # 09827,Pharmacy,Pharmacy,720 N BROADWAY,,PERU,IN,46970,40.76575,-86.07689,Type 2 diabetes mellitus without complications
45,64,2102,FRANCISCAN PHYSICIAN NETWORK,Physician,Pulmonary Disease Specialist,1215 HADLEY RD STE 220,,MOORESVILLE,IN,46158,39.609231,-86.358058,Obstructive sleep apnea (adult) (pediatric)
270,5222,2466911,HELP AT HOME LLC,Waiver Provider,Aged & Disabled Waiver (A&D),9025 COLDWATER RD STE 400,,FORT WAYNE,IN,46825,41.162235,-85.134159,"Illness, unspecified                                                                                "
257,399,37783,MIDWEST EYE CONSULTANTS #32,Optometrist,Optometrist,525 SHERIDAN ROAD,,NOBLESVILLE,IN,46060,40.051262,-86.027606,"Myopia, bilateral                                                                                   "
172,189,12645,COMMUNITY PHYSICIANS OF INDIANA INC,Physician,Neurological Surgeon,1550 E COUNTY LINE RD STE 325,,INDIANAPOLIS,IN,46227,39.635559,-86.13177,Encntr for routine child health exam w/o abnormal findings
3179,6075,17469,RADIOLOGY INC-615 N MICHIGAN,Physician,Radiologist,615 N MICHIGAN ST,,SOUTH BEND,IN,46601,41.683295,-86.25056,"Chest pain, unspecified                                                                             "
94,96,12430,SZABO                    RONALD       W,Optometrist,Optometrist,3151  WILLOWCREEK RD,,PORTAGE,IN,46368,41.561211,-87.182834,"Myopia, bilateral                                                                                   "
23,116,2235,MORRELL                  DOUGLAS      W,Physician,Family Practitioner,606   E 11 STREET,,RUSHVILLE,IN,46173,39.61874,-85.436668,Essential (primary) hypertension
344,4681,214023,D AND S AMBULANCE,Transportation Provider,Common Carrier (Ambulatory),604 UPPER 11TH ST,,VINCENNES,IN,47591,38.675538,-87.520584,"Illness, unspecified                                                                                "
687,17092,1140189,PORTER STARKE SERVICES INC MRO SERV (A),Mental Health Provider,Community Mental Health Center (CMHC),601 WALL ST,,VALPARAISO,IN,46383,41.488789,-87.053946,"Schizophrenia, unspecified                                                                          "
328,508,43638,VISION FIRST,Optometrist,Optometrist,279 N GARDNER ST #2,,SCOTTSBURG,IN,47170,38.690275,-85.779202,"Hypermetropia, bilateral                                                                            "
141,220,8407,AMERICAN HEALTH NETWORK OF IND.LLC,Physician,Family Practitioner,AHN GREENFIELD,300 E BOYD AVE STE 100,GREENFIELD,IN,46140,39.79626,-85.78956,Encntr for routine child health exam w/o abnormal findings
22,59,814,CVS PHARMACY #6543,Pharmacy,Pharmacy,607 E TALMER AVE,,NORTH JUDSON,IN,46366,41.21509,-86.769643,Type 2 diabetes mellitus without complications
261,579,34239,DEKALB HEALTH MEDICAL GROUP,Physician,Family Practitioner,1314 E 7TH ST STE 201,,AUBURN,IN,46706,41.367623,-85.038331,Encntr for routine child health exam w/o abnormal findings
164,2924,263243,MAINSTAY MUSIC THERAPY INC,Waiver Provider,Waiver-Community Integration and Habilitation (CIH),5826 LEESVILLE PL,,FORT WAYNE,IN,46835,41.134772,-85.033511,"Illness, unspecified                                                                                "
502,739,154191,ST VINCENT FISHERS HOSPITAL INC,Hospital,Acute Care,13861 OLIO ROAD,,FISHERS,IN,46037,39.990356,-85.918985,"Acute upper respiratory infection, unspecified                                                      "
87,138,13150,FRISCHE OD               J MICHAEL,Optometrist,Optometrist,300 W. SECOND ST.,,SEYMOUR,IN,47274,38.95883,-85.89183,"Myopia, bilateral                                                                                   "
401,404,39843,CHRISTINA KENNEDY OD,Optometrist,Optometrist,7625 SOUTHERN XING,,FORT WAYNE,IN,46816,41.01601,-85.09422,"Hypermetropia, bilateral                                                                            "
411,497,6026,INTEGRA IMAGING PARTNERS LLC,Physician,Radiologist,2900 W 16TH ST,,BEDFORD,IN,47421,38.86099,-86.51215,"Chest pain, unspecified                                                                             "
71,982,1770912,RAWLINS HOUSE HEALTH & LIVING COMM,Extended Care Facility,Nursing Facility,300 JH WALKER DR,,PENDLETON,IN,46064,40.00545,-85.73339,"Alzheimer's disease, unspecified                                                                    "
27,83,5025,CVS PHARMACY #684-DME,DME/Medical Supply Dealer,DME/Medical Supply Dealer,7930 MADISON AVE,,INDIANAPOLIS,IN,46227,39.651049,-86.122307,Type 2 diabetes mellitus without complications
42,110,2209,WALGREENS #07631,Pharmacy,Pharmacy,720 W CHICAGO AVE,,EAST CHICAGO,IN,46312,41.629229,-87.480167,Type 2 diabetes mellitus without complications
411,3629,364933,LIFETIME RESOURCES INC - WAIVER,Waiver Provider,Aged & Disabled Waiver (A&D),13091 BENEDICT DR,,DILLSBORO,IN,47018,39.022905,-85.061812,"Illness, unspecified                                                                                "
57,1359,1745540,SWISS VILLA NURSING AND REHABILITATION,Extended Care Facility,Nursing Facility,1023 W MAIN ST,,VEVAY,IN,47043,38.74036,-85.07927,Essential (primary) hypertension
715,964,51467,NES OF SANDUSKY INC,Physician,Emergency Medicine Practitioner,LOGANSPORT MEM HOSP ER DEPT,1101 MICHIGAN AVENUE,LOGANSPORT,IN,46947,40.7582,-86.36045,"Acute upper respiratory infection, unspecified                                                      "
492,748,52440,ST VINCENT MEDICAL GROUP INC,Physician,Family Practitioner,8433 HARCOURT RD #200,,INDIANAPOLIS,IN,46260,39.909507,-86.19389,Encntr for routine child health exam w/o abnormal findings
771,1448,33932,FAYETTE SALARIED PHYSICIANS,Physician,General Internist,2004 INDIANA AVE,,CONNERSVILLE,IN,47331,39.657173,-85.133408,Essential (primary) hypertension
24,72,6167,TRISTATE ORTHOPAEDIC SURGEONS INC,Clinic,Therapy Clinic,225 CROSSLAKE DR,,EVANSVILLE,IN,47715,37.978504,-87.458115,Low back pain
52,1483,30905,FRANKLIN CO SENIOR CITIZENS SERVICES,Transportation Provider,Common Carrier (Ambulatory),11146 COUNTY PARK RD,,BROOKVILLE,IN,47012,39.404632,-85.016051,"Illness, unspecified                                                                                "
2475,7703,166549,PROVIDENCE MEDICAL GROUP LLC,Clinic,Medical Clinic,2723 S 7TH ST STE A,,TERRE HAUTE,IN,47802,39.437453,-87.40685,Essential (primary) hypertension
32,34,5620,SOUTH GIBSON EYECARE ASSOCIATES LLC,Optometrist,Optometrist,831 S 9TH AVE,,HAUBSTADT,IN,47639,38.19943,-87.56425,"Myopia, bilateral                                                                                   "
26,304,586290,MILLER'S MERRY MANOR,Extended Care Facility,Nursing Facility,981 BEECHWOOD AVE,,MIDDLETOWN,IN,47356,40.063501,-85.540917,Unspecified dementia without behavioral disturbance
71,1422,2073940,DANVILLE REGIONAL REHABILITATION,Extended Care Facility,Nursing Facility,255 MEADOW DR,,DANVILLE,IN,46122,39.763875,-86.499638,Unspecified dementia without behavioral disturbance
521,836,65575,ST VINCENT MEDICAL GROUP INC,Physician,Family Practitioner,1001 BROAD RIPPLE AVE,,INDIANAPOLIS,IN,46220,39.86974,-86.14169,Encntr for routine child health exam w/o abnormal findings
885,13870,855993,CHRH DOWNTOWN CAMPUS-BEH HLTH SVCS,Mental Health Provider,Outpatient Mental Health Clinic,322 N MAIN ST,,KOKOMO,IN,46901,40.488573,-86.131246,"Schizophrenia, unspecified                                                                          "
274,715,24386,THE NEUROLOGICAL INSTITUTE AND SPECIALT,Physician,Physical Medicine and Rehabilitation Practitioner,521 E. 86TH AVENUE,SUITE Z,MERRILLVILLE,IN,46410,41.462382,-87.330335,Unspecified convulsions
315,579,44453,ARNETT CLINIC LLC - FRANKFORT,Clinic,Medical Clinic,550 S HOKE AVE,,FRANKFORT,IN,46041,40.279865,-86.496361,Encntr for routine child health exam w/o abnormal findings
23,26,511,NOBLE COUNTY HEALTH DEPARTMENT,Public Health Agency,County Health Department,2090 N STATE ROAD 9,,ALBION,IN,46701,41.371097,-85.424037,Encntr for routine child health exam w/o abnormal findings
53,196,3642,CVS PHARMACY #6879,Pharmacy,Pharmacy,200 W MAIN ST,,PETERSBURG,IN,47567,38.48777,-87.28523,Type 2 diabetes mellitus without complications
640,943,89323,MARRAM HEALTH CENTER,Clinic,Federally Qualified Health Clinic (FQHC),3229 BROADWAY,STE 205,GARY,IN,46409,41.55918,-87.33659,Encntr for routine child health exam w/o abnormal findings
65,65,20930,NORTHEASTERN CENTER INC - MRO SERV (H),Mental Health Provider,Community Mental Health Center (CMHC),220 S MAIN ST,,KENDALLVILLE,IN,46755,41.442353,-85.265373,"Major depressive disorder, single episode, unspecified                                              "
255,323,43612,JASPER COUNTY HOSPITAL,Hospital,Acute Care,1104  E GRACE ST,,RENSSELAER,IN,47978,40.93361,-87.137926,Low back pain
31,220,6826,DR GENE FLICK,Physician,Psychiatrist,801 ST MARYS DR STE 301,,EVANSVILLE,IN,47714,37.966531,-87.50537,"Schizophrenia, unspecified                                                                          "
220,472,57169,CORYDON PAIN MANAGEMENT CLINIC INC,Clinic,Medical Clinic,2086 OLD HIGHWAY 135 NW,,CORYDON,IN,47112,38.23163,-86.1311,Low back pain
157,322,6802,PATRICK J SHEETS,Physician,Family Practitioner,208 W. WASHINGTON,,RENSSELAER,IN,47978,40.935936,-87.151971,Essential (primary) hypertension
211,273,41619,GRANT COUNTY EMS,Transportation Provider,Ambulance,3921 S GARTHWAITE RD,,GAS CITY,IN,46933,40.50602,-85.61551,Encounter for other general examination
96,1687,2456404,PREMIER HEALTHCARE OF NORTH VERNON,Extended Care Facility,Nursing Facility,701 HENRY ST,,NORTH VERNON,IN,47265,39.011421,-85.643695,"Chronic obstructive pulmonary disease, unspecified                                                  "
354,369,43984,DIDAT                    JULIE        S,Optometrist,Optometrist,2000 EDSEL LN NW,,CORYDON,IN,47112,38.23058,-86.13474,"Myopia, bilateral                                                                                   "
33,84,3025,WALGREENS #06151,Pharmacy,Pharmacy,2015 COVERT AVE.,,EVANSVILLE,IN,47714,37.95527,-87.529361,Type 2 diabetes mellitus with hyperglycemia
1115,2144,184400,PROMPT AMBULANCE CENTRAL INC,Transportation Provider,Ambulance,1600 KEPNER DR,STE E,LAFAYETTE,IN,47905,40.404498,-86.844459,Weakness
373,450,48541,20/20 EYE SPECIALISTS,Physician,Ophthalmologist,2318 W 5TH AVE,,GARY,IN,46404,41.60193,-87.365666,"Myopia, bilateral                                                                                   "
61,67,340954,SPRINGER                 JASON        M,Waiver Provider,Aged & Disabled Waiver (A&D),10814 ARVADA PL,,FISHERS,IN,46038,39.973545,-85.976627,"Illness, unspecified                                                                                "
32,46,2018,PAIN MANAGEMENT GROUP LLC,Clinic,Medical Clinic,1402 GRAND AVE,,WASHINGTON,IN,47501,38.65949,-87.158697,Low back pain
95,102,2039,UNIFIED ANESTHESIA SERVICES LLC,Physician,Anesthesiologist,1421 N 7TH STREET,,TERRE HAUTE,IN,47807,39.483394,-87.40719,"Dysphagia, unspecified                                                                              "
33,110,1830,KROGER PHARMACY  116,Pharmacy,Pharmacy,680 TWIN AIRE DRIVE,,INDIANAPOLIS,IN,46203,39.758289,-86.114452,Type 2 diabetes mellitus without complications
33,68,1327,DEKALB HEALTH,Physician,General Practitioner,1306 EAST 7TH STREET,SUITE B,AUBURN,IN,46706,41.367615,-85.03801,Essential (primary) hypertension
28,46,955,MID AMERICA CLINICAL LAB-86TH STREET,Laboratory,Independent Lab,2001 WEST 86TH STREET,,INDIANAPOLIS,IN,46260,39.911986,-86.195142,"Urinary tract infection, site not specified                                                         "
22,447,83957,HOME HELPERS HOME HEALTH,Waiver Provider,Aged & Disabled Waiver (A&D),696 S LAKE RD S,,SCOTTSBURGH,IN,47170,38.682551,-85.794188,"Illness, unspecified                                                                                "
79,1036,1977430,HARBOUR MANOR HEALTH & LIVING COMM LLC,Extended Care Facility,Nursing Facility,1667 SHERIDAN RD,,NOBLESVILLE,IN,46062,40.0598,-86.047628,Dementia in oth diseases classd elswhr w/o behavrl disturb
71,88,1312,JEFFERSON CO HEALTH DEPT - CO HEALTH,Public Health Agency,County Health Department,715 GREEN RD,,MADISON,IN,47250,38.76166,-85.40204,Encntr for routine child health exam w/o abnormal findings
59,2181,776427,ANCHOR HOME HEALTH CARE,Home Health Agency,Home Health Agency,1351 SILHAVY RD STE 200,,VALPARAISO,IN,46383,41.480461,-87.02711,"Cerebral palsy, unspecified                                                                         "
236,408,29942,TELL CITY CLINIC,Physician,Family Practitioner,109 E HIGHWAY 66,,TELL CITY,IN,47586,37.97552,-86.74028,Encntr for routine child health exam w/o abnormal findings
304,457,42423,DRS ROUSH & WILL OPTOMETRISTS INC,Optometrist,Optometrist,781 E NORTH ST,,KENDALLVILLE,IN,46755,41.452224,-85.255899,"Hypermetropia, bilateral                                                                            "
154,309,19418,BLUFFTON PHYSICIAN SERVICES LLC,Physician,Family Practitioner,2005 N WALNUT ST,,HARTFORD CITY,IN,47348,40.467546,-85.37003,Encntr for routine child health exam w/o abnormal findings
132,210,16237,PARKVIEW PHYSICIANS GROUP- ALBION,Clinic,Medical Clinic,817 TRAIL RIDGE RD,,ALBION,IN,46701,41.403689,-85.421971,Encntr for routine child health exam w/o abnormal findings
24,35,7489,PENN-HARRIS-MADISON SCH CORP,School Corporation,School Corporation,55900 BITTERSWEET RD,,MISHAWAKA,IN,46545,41.682533,-86.109693,Autistic disorder
25,234,623442,THORNTON TERRACE HEALTH CAMPUS,Extended Care Facility,Nursing Facility,188 THORNTON RD,,HANOVER,IN,47243,38.717326,-85.473678,"Urinary tract infection, site not specified                                                         "
34,35,40473,PSYCHIATRIC UNIT,Hospital,Acute Care,7165 CLEARVISTA DR,,INDIANAPOLIS,IN,46256,39.899918,-86.043096,"Major depressv disorder, recurrent severe w/o psych features                                        "
55,76,2417,UROLOGY ASSOCIATE OF NORTHWEST IND PC,Physician,Urologist,1101 E GLENDALE AVE STE 111,,VALPARAISO,IN,46383,41.48542,-87.04798,Unspecified urinary incontinence
912,1756,107289,INDIANA HEALTH CENTER AT MARION,Clinic,Federally Qualified Health Clinic (FQHC),925 S NEBRASKA ST,,MARION,IN,46953,40.552921,-85.663362,Essential (primary) hypertension
38,38,80692,SOLANA SENIOR LIVING,Waiver Provider,Aged & Disabled Waiver (A&D),7721 BATTERY POINTE WAY,,INDIANAPOLIS,IN,46240,39.9126,-86.12451,Encounter for other general examination
41,252,29397,YOUTH SERVICE BUREAU OF JAY COUNTY INC,Mental Health Provider,Outpatient Mental Health Clinic,603 WEST ARCH STREET,,PORTLAND,IN,47371,40.43615,-84.985031,"Post-traumatic stress disorder, unspecified                                                         "
1362,1608,120508,FRANCISCAN PHYSICIAN NETWORK,Clinic,Medical Clinic,4527 E 82ND STREET,,INDIANAPOLIS,IN,46250,39.906223,-86.092009,"Acute upper respiratory infection, unspecified                                                      "
116,555,10983,MEDICAL PAIN AND SPINE CARE OF INDIANA,Physician,Anesthesiologist,18077 RIVER RD STE 200,,NOBLESVILLE,IN,46062,40.049463,-86.028091,Low back pain
100,139,19371,PERRY COUNTY MEMORIAL HOSPITAL-AMB,Transportation Provider,Ambulance,8885 SR 237,,TELL CITY,IN,47586,37.967547,-86.728676,Encounter for other general examination
22,26,15213,KENNEY ORTHOPEDICS INDIANAPOLIS LLC,DME/Medical Supply Dealer,DME/Medical Supply Dealer,33 E COUNTY LINE RD STE E,,GREENWOOD,IN,46143,39.635802,-86.106249,Muscle weakness (generalized)
264,299,24233,HARMAN                   ERIC         D,Optometrist,Optometrist,400 N JEFFERSON ST,,HUNTINGTON,IN,46750,40.88187,-85.49496,"Hypermetropia, bilateral                                                                            "
39,560,938663,NORWOOD HEALTH AND REHABILITATION CTR,Extended Care Facility,Nursing Facility,3720 N NORWOOD RD,,HUNTINGTON,IN,46750,40.880503,-85.558693,"Heart failure, unspecified                                                                          "
32,129,1820,HERBST APOTHECARY,Pharmacy,Pharmacy,201 N DIXON RD,,KOKOMO,IN,46901,40.487031,-86.16499,"Chronic obstructive pulmonary disease, unspecified                                                  "
102,1882,3143448,SUMMIT CITY NURSING AND REHABILITATION,Extended Care Facility,Nursing Facility,2940 N CLINTON ST,,FORT WAYNE,IN,46805,41.102457,-85.138256,Essential (primary) hypertension
172,175,21373,"HODGES WOODALL OPTOMETRY, PC",Optometrist,Optometrist,814 E WASHINGTON ST,,GREENCASTLE,IN,46135,39.64397,-86.851344,"Myopia, bilateral                                                                                   "
76,644,1362531,CAPITAL SENIOR LIVING PROPERTIES INC,Waiver Provider,Aged & Disabled Waiver (A&D),2715 CHARLESTOWN PIKE,,JEFFERSONVILLE,IN,47130,38.330709,-85.725623,Ill-defined and unknown cause of mortality
687,1071,3968,MEMORIAL REGIONAL REHAB CTR - WAIVER,Waiver Provider,Waiver-Community Integration and Habilitation (CIH),615 N MICHIGAN,,SOUTH BEND,IN,46601,41.683295,-86.25056,Other chest pain
158,635,21600,NORTHWEST IND OCCUPATIONAL PAIN & WELL,Clinic,Medical Clinic,399 EAST 84TH DR,,MERRILLVILLE,IN,46410,41.46487,-87.336943,Low back pain
56,203,5078,DEACONESS HOME MEDICAL,DME/Medical Supply Dealer,DME/Medical Supply Dealer,4015 GATEWAY BLVD,,NEWBURGH,IN,47630,37.97635,-87.442919,"Chronic obstructive pulmonary disease, unspecified                                                  "
66,508,156309,OPTION CARE,Pharmacy,Pharmacy,867 W CARMEL DR,,CARMEL,IN,46032,39.968288,-86.146443,"Cerebral palsy, unspecified                                                                         "
134,234,5520,NORTHEAST IND UROLOGY (FT WAYNE),Physician,Urologist,2512 E DUPONT RD STE 100,,FORT WAYNE,IN,46825,41.176291,-85.108341,"Urinary tract infection, site not specified                                                         "
29,34,186250,SPRINGER                 JASON        M,Waiver Provider,Aged & Disabled Waiver (A&D),10814 ARVADA PL,,FISHERS,IN,46038,39.973545,-85.976627,"Illness, unspecified                                                                                "
3223,5055,778017,ESKENAZI HEALTH,Transportation Provider,Ambulance,720 ESKENAZI AVE,,INDIANAPOLIS,IN,46202,39.77763,-86.18284,"Altered mental status, unspecified                                                                  "
364,559,58196,CHILDRENS HEALTH CLINIC,Clinic,Medical Clinic,205 E 86TH CT,,MERRILLVILLE,IN,46410,41.461576,-87.315523,Encntr for routine child health exam w/o abnormal findings
90,733,570695,ETELCARE HOME SERVICES UNLIMITED (WVR),Waiver Provider,Aged & Disabled Waiver (A&D),7750 MICHIGAN RD,,INDIANAPOLIS,IN,46268,39.89275,-86.213616,"Illness, unspecified                                                                                "
200,249,20097,UNIVERSITY OF LOUISVILLE PHYSICIANS INC,Physician,Plastic Surgeon,217 EAST CHESTNUT STREET,,LOUISVILLE,KY,40202,38.248199,-85.75112,"Acute upper respiratory infection, unspecified                                                      "
72,151,14552,FORT WAYNE MED ONCOLOGY & HEMATOLOGY,Physician,Oncologist,11143 PARKVIEW PLAZA DR #100,,FORT WAYNE,IN,46845,41.189657,-85.099368,"Anemia, unspecified                                                                                 "
452,739,129662,PULASKI MEMORIAL HOSPITAL,Hospital,Acute Care,616 E 13TH STREET,,WINAMAC,IN,46996,41.057359,-86.595933,"Acute upper respiratory infection, unspecified                                                      "
175,499,5225,DEACONESS PRIMARY CARE FOR SENIORS,Physician,Family Practitioner,1750 OAK HILL RD,,EVANSVILLE,IN,47711,37.992766,-87.525882,Essential (primary) hypertension
56,102,1838,INTERNAL MED OF SE IN,Physician,General Internist,1088 NORTH STATE ROAD 229,,BATESVILLE,IN,47006,39.312173,-85.211003,Essential (primary) hypertension
2643,6485,179401,PREMIER HEALTHCARE LLC,Clinic,Medical Clinic,550 S LANDMARK AVE,,BLOOMINGTON,IN,47403,39.160203,-86.553882,Essential (primary) hypertension
53,250,8745,SWEET CHARIOT TRANSPORTATION,Transportation Provider,Common Carrier (Ambulatory),3524 N SHADELAND AVE STE D,,INDIANAPOLIS,IN,46226,39.820698,-86.045814,"Illness, unspecified                                                                                "
47,107,1499,INDIANA PODIATRY GP-SHADELAND,Podiatrist,Podiatrist,7430 N SHADELAND SUITE 290,,INDIANAPOLIS,IN,46250,39.888723,-86.046113,Type 2 diabetes mellitus without complications
32,33,4295,WINCHESTER FIRE DEPT,Transportation Provider,Ambulance,113 E WASHINGTON ST,,WINCHESTER,IN,47394,40.172513,-84.981141,Encounter for other general examination
3312,4919,2702467,ST JOSEPHS REGIONAL MEDICAL CENTER SB,Hospital,Acute Care,5215 HOLY CROSS PARKWAY,,MISHAWAKA,IN,46545,41.70322,-86.17918,"Acute upper respiratory infection, unspecified                                                      "
58,79,14247,BOONE COUNTY EMS,Transportation Provider,Ambulance,2605 N LEBANON ST,,LEBANON,IN,46052,40.077307,-86.475317,Unspecified convulsions
57,63,901,RURAL METRO  AMBULANCE,Transportation Provider,Ambulance,3307 GILMORE INDUSTRIAL BLVD,,LOUISVILLE,KY,40213,38.18163,-85.6999,"Altered mental status, unspecified                                                                  "
22,24,327,INDIANA NEUROSCIENCE ASSOCIATES,Physician,Neurologist,1030 E COUNTY LINE RD,STE B1,INDIANAPOLIS,IN,46227,39.635336,-86.139969,Low back pain
125,222,10009,FLORA FAMILY MEDICINE,Physician,Family Practitioner,203 N DIVISION ST,,FLORA,IN,46929,40.549466,-86.52289,Encntr for routine child health exam w/o abnormal findings
34,81,2400,WALGREENS #04462,Pharmacy,Pharmacy,6510 COLUMBIA AVENUE,,HAMMOND,IN,46320,41.595473,-87.500182,Type 2 diabetes mellitus with hyperglycemia
25,63,1297,CVS PHARMACY #06501,Pharmacy,Pharmacy,975 N 00 EW,,LAGRANGE,IN,46761,41.650933,-85.425147,Type 2 diabetes mellitus without complications
505,826,58656,REID PHYSICIAN ASSOCIATES INC,Physician,Family Practitioner,1250 CHESTER BLVD,STE 2,RICHMOND,IN,47374,39.844439,-84.888985,Encntr for routine child health exam w/o abnormal findings
25,31,2457,CARDIOVASCULAR CLINICS PC,Clinic,Medical Clinic,3229 BROADWAY,,GARY,IN,46409,41.55918,-87.33659,Essential (primary) hypertension
240,1179,107805,MERIDIAN HEALTH SERVICES CORP,Mental Health Provider,Community Mental Health Center (CMHC),2010 BRENTWOOD DR,,ANDERSON,IN,46011,40.096538,-85.716812,Oppositional defiant disorder
91,124,10213,ADVANCED VISION ASSOCIATES LLC,Physician,Ophthalmologist,4405 BELLEMEADE AVE STE 101,,EVANSVILLE,IN,47714,37.966954,-87.496787,"Myopia, bilateral                                                                                   "
44,93,2809,MIMMS FUNCTIONAL REHABILITATION PC,Physician,Physical Medicine and Rehabilitation Practitioner,6325 S EAST STREET,,INDIANAPOLIS,IN,46227,39.674911,-86.149068,Multiple sclerosis
110,220,14370,INDIANA NEUROSCIENCE ASSOCIATES,Physician,Neurologist,9302 N MERIDIAN ST,STE 101,INDIANAPOLIS,IN,46260,39.923382,-86.158,Multiple sclerosis
79,1594,2226554,THE WOODLANDS,Extended Care Facility,Nursing Facility,3820 W JACKSON ST,,MUNCIE,IN,47304,40.193068,-85.430558,"Alzheimer's disease, unspecified                                                                    "
1617,13711,454242,LIFESPRING MENTAL HEALTH GUIDANCE CTR,Mental Health Provider,Community Mental Health Center (CMHC),460 SPRING ST,,JEFFERSONVILLE,IN,47130,38.273797,-85.74192,"Schizoaffective disorder, bipolar type                                                              "
43,404,261193,DEACONESS VNA PLUS LLC,Waiver Provider,Aged & Disabled Waiver (A&D),610 E WALNUT,,EVANSVILLE,IN,47713,37.973646,-87.556529,"Illness, unspecified                                                                                "
577,818,87809,MIDWEST EYE CONSULTANTS #06,Optometrist,Optometrist,3510 S WESTERN AVE,,MARION,IN,46953,40.52771,-85.673611,"Myopia, bilateral                                                                                   "
193,998,112605,MARKSMEN CAB CO,Transportation Provider,Common Carrier (Ambulatory),801 TELL ST,,TELL CITY,IN,47586,37.955305,-86.770439,"Illness, unspecified                                                                                "
49,102,6293,ST VINCENT PHYSICIAN SERVICES,Physician,General Internist,1000 NORTH 16TH ST,,NEW CASTLE,IN,47362,39.941097,-85.365049,"Pneumonia, unspecified organism                                                                     "
444,2204,214616,ALICK'S HOME MEDICAL EQUIP-MI CITY,DME/Medical Supply Dealer,DME/Medical Supply Dealer,3219 S FRANKLIN ST,,MICHIGAN CITY,IN,46360,41.72187,-86.9042,"Chronic obstructive pulmonary disease, unspecified                                                  "
22,24,2868,CRAVENS                  EILEEN       E,Physician,General Internist,1050 REID PARKWAY STE 130,,RICHMOND,IN,47374,39.862839,-84.8858,"Dysphagia, unspecified                                                                              "
214,344,31176,HEALTH SERVICES CORP OF SOUTHEAST IND,Physician,Family Practitioner,19706 STATE LINE RD,,LAWRENCEBURG,IN,47025,39.158114,-84.820935,Encntr for routine child health exam w/o abnormal findings
40,46,4912,PHYSICIANS URGENT CARE,Clinic,Medical Clinic,10343 INDIANAPOLIS BOULEVARD,SUITE 104,HIGHLAND,IN,46322,41.525711,-87.471215,"Acute upper respiratory infection, unspecified                                                      "
28,88,5052,HALE AND ASSOCIATES LLC,Mental Health Provider,Outpatient Mental Health Clinic,2738 E 00 NS,,KOKOMO,IN,46901,40.476886,-86.079727,"Major depressive disorder, single episode, unspecified                                              "
59,65,5225,INNERVISION ADV MEDICAL IMAGING,Radiology,Freestanding X-Ray Clinic,1411 S CREASY LN STE 130,,LAFAYETTE,IN,47905,40.397599,-86.838431,Headache
23,104,14708,NEPHROLOGY SPECIALISTS PC,Clinic,Medical Clinic,801 MACARTHUR BLVD,STE 400A,MUNSTER,IN,46321,41.5501,-87.50795,End stage renal disease
75,166,521,RYAN ROLF MD LLC,Physician,General Internist,4180 SAGE BLUFF CROSSING,,FORT WAYNE,IN,46804,41.05601,-85.24302,Essential (primary) hypertension
63,80,3944,PARKVIEW PHYSICIANS GROUP,Clinic,Medical Clinic,11141 PARKVIEW PLZ DR STE 320,,FORT WAYNE,IN,46845,41.189571,-85.099366,"Urinary tract infection, site not specified                                                         "
262,407,28018,FERGUSON                 JAMES        D,Optometrist,Optometrist,8417 KENNEDY AVE,,HIGHLAND,IN,46322,41.560575,-87.461615,"Myopia, bilateral                                                                                   "
65,77,6689,EMERGENCY CARE ASSOCIATES OF IN LLC,Physician,Emergency Medicine Practitioner,701 SUPERIOR AVENUE,,MUNSTER,IN,46321,41.53728,-87.51118,"Acute upper respiratory infection, unspecified                                                      "
721,1076,11758,HENRY COUNTY RADIOLOGY,Physician,Radiologist,1000 N 16TH ST,,NEW CASTLE,IN,47362,39.941097,-85.365049,"Chest pain, unspecified                                                                             "
184,355,16812,HOUSTON                  PAUL         N,Physician,Family Practitioner,1216 EAST NATIONAL AVENUE,,BRAZIL,IN,47834,39.526875,-87.111402,Type 2 diabetes mellitus without complications
52,208,785489,KINDRED HOSPICE,Hospice,Hospice,391 QUARTERMASTER COURT,,JEFFERSONVILLE,IN,47130,38.283362,-85.74126,"Alzheimer's disease, unspecified                                                                    "
