PROVIDERNAME,PROVIDERPRIMESPECIALTY,CATEGORYOFSERVICES,TOTALNUMBEROFCLAIMS,TOTALDOLLARAMOUNTOFCLAIMS,TOTALNUMBEROFRECIPIENTS
COMMUNITY HOSPITAL SOUTH,Acute Care,03 - Outpatient Services,26317,8291867,25
COMMUNITY HOSPITAL WOUND OSTOMY CLINIC,Medical Clinic,17 - Clinic Services,419,7556,468
COMMUNITY HOSPITALS OF INDIANA,Acute Care,01 - Inpatient Services,5873,28928230,60
COMMUNITY HOSPITALS OF INDIANA,Acute Care,03 - Outpatient Services,119536,37795813,50
COMMUNITY HOSPITALS ONCOLOGY PHYS LLC,Oncologist,06 - Physician Services,694,52810,35
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Family Practitioner,06 - Physician Services,7199,612140,22
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Family Practitioner,12 - X-Ray Services,36,1048,1779
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Family Practitioner,38 - EPSDT Services,453,39659,288
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,General Internist,06 - Physician Services,162,11420,100
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Obstetrician/Gynecologist,06 - Physician Services,94,9525,32
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Family Practitioner,06 - Physician Services,3447,431116,39
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,"Otologist, Laryngologist, Rhinologist                                                               ",06 - Physician Services,24,2571,1574
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Orthopedic Surgeon,06 - Physician Services,216,33397,29
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,General Internist,06 - Physician Services,220,21935,22
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Anesthesiologist,06 - Physician Services,861,94672,420
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Anesthesiologist,38 - EPSDT Services,26,2327,154
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Gastroenterologist,06 - Physician Services,535,20680,115
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Orthopedic Surgeon,06 - Physician Services,107,10424,80
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,General Internist,06 - Physician Services,681,24226,803
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Pulmonary Disease Specialist,06 - Physician Services,187,16828,181
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,General Internist,06 - Physician Services,2065,179660,126
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,General Pediatrician,06 - Physician Services,3108,263053,848
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,General Pediatrician,38 - EPSDT Services,228,20162,110
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,General Pediatrician,06 - Physician Services,47,5951,376
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Cardiologist,06 - Physician Services,625,71449,2826
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Family Practitioner,06 - Physician Services,6852,251201,123
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Family Practitioner,12 - X-Ray Services,118,802,2171
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Family Practitioner,38 - EPSDT Services,63,5420,225
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Family Practitioner,06 - Physician Services,168,16566,381
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Obstetrician/Gynecologist,06 - Physician Services,1456,185753,163
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Oncologist,06 - Physician Services,1555,52623,35
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,General Pediatrician,06 - Physician Services,44,3055,107
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,"Otologist, Laryngologist, Rhinologist                                                               ",06 - Physician Services,354,38545,104
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,General Internist,06 - Physician Services,108,8793,378
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Family Practitioner,06 - Physician Services,483,31727,44
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,General Internist,06 - Physician Services,95,9679,111
COMMUNITY HOWARD PHYSICIAN NETWORK LLC,Family Practitioner,06 - Physician Services,166,14578,79
COMMUNITY HOWARD REGIONAL HEALTH INC,Acute Care,01 - Inpatient Services,1031,4096583,130
COMMUNITY HOWARD REGIONAL HEALTH INC,Acute Care,03 - Outpatient Services,33231,6113141,29
COMMUNITY HOWARD REGIONAL HEALTH INC,Outpatient Mental Health Clinic,26 - Mental Health Services,1581,71529,582
COMMUNITY HOWARD REGIONAL HEALTH INC,Outpatient Mental Health Clinic,26 - Mental Health Services,4900,134953,22
COMMUNITY HOWARD REGIONAL HEALTH INC,Outpatient Mental Health Clinic,26 - Mental Health Services,60,2747,215
COMMUNITY HOWARD REGIONAL HEALTH INC,Community Mental Health Center (CMHC),26 - Mental Health Services,5746,729458,280
"COMMUNITY INTERNIST AND ASSOCIATES, P C",General Internist,06 - Physician Services,5708,109890,55
COMMUNITY MEDICAL ASSOCIATES,Cardiovascular Surgeon,06 - Physician Services,753,49354,35
COMMUNITY MEDICAL CENTER,Medical Clinic,17 - Clinic Services,32,4474,120
COMMUNITY MEDICAL IMAGING INC,Radiologist,06 - Physician Services,2233,81224,180
COMMUNITY MEDICAL IMAGING INC,Radiologist,12 - X-Ray Services,2600,35196,41
COMMUNITY MEMORIAL HOSPITAL,Acute Care,03 - Outpatient Services,41,8139,101
COMMUNITY MEMORIAL HOSPITAL,Acute Care,38 - EPSDT Services,42,3693,34
COMMUNITY MEMORIAL HOSPITAL,Emergency Medicine Practitioner,06 - Physician Services,242,40695,635
COMMUNITY MEMORIAL HOSPITAL PHYSICIAN,General Surgeon,06 - Physician Services,92,16779,266
COMMUNITY MENTAL HEALTH CENTER INC,Community Mental Health Center (CMHC),26 - Mental Health Services,46409,7632582,61
COMMUNITY MENTAL HEALTH CENTER INC,Psychiatric,26 - Mental Health Services,17141,1138603,191
COMMUNITY OPEN MRI OF AUBURN LLC,Freestanding X-Ray Clinic,12 - X-Ray Services,86,11967,61
COMMUNITY OPEN MRI OF AUBURN LLC,Freestanding X-Ray Clinic,12 - X-Ray Services,102,15535,216
COMMUNITY OPEN MRI OF AUBURN LLC,Freestanding X-Ray Clinic,12 - X-Ray Services,257,43498,225
COMMUNITY PATHOLOGY & NUCLEAR MEDICINE,Pathologist,06 - Physician Services,1129,73428,40
COMMUNITY PATHOLOGY & NUCLEAR MEDICINE,Pathologist,11 - Lab Services,787,16889,26
COMMUNITY PEDIATRICS,General Pediatrician,06 - Physician Services,2762,188083,190
COMMUNITY PEDIATRICS,General Pediatrician,38 - EPSDT Services,303,26146,95
COMMUNITY PHYSICIANS OF INDIANA,Pulmonary Disease Specialist,06 - Physician Services,1176,167606,57
COMMUNITY PHYSICIANS OF INDIANA,Medical Clinic,17 - Clinic Services,118,12621,41
COMMUNITY PHYSICIANS OF INDIANA,Physical Medicine and Rehabilitation Practitioner,06 - Physician Services,810,91627,108
COMMUNITY PHYSICIANS OF INDIANA,Physical Medicine and Rehabilitation Practitioner,38 - EPSDT Services,39,3272,39
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,06 - Physician Services,174131,13609326,95
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,11 - Lab Services,165,2219,246
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,12 - X-Ray Services,4035,106021,39
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,17 - Clinic Services,25,2802,113
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,38 - EPSDT Services,405,35248,3709
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,1322,170523,75
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,2378,243761,33
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,12 - X-Ray Services,62,2755,33
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,38 - EPSDT Services,48,4293,298
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,793,112104,46
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,06 - Physician Services,72,7006,267
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,185,15647,40
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,1016,98263,240
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,12 - X-Ray Services,27,1380,438
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,38 - EPSDT Services,25,2203,1327
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,06 - Physician Services,77,3299,34
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,1196,100678,31
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,11 - Lab Services,58,2249,27
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,12 - X-Ray Services,84,6658,59
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,38 - EPSDT Services,147,13478,83
COMMUNITY PHYSICIANS OF INDIANA INC,General Pediatrician,06 - Physician Services,252,12998,234
COMMUNITY PHYSICIANS OF INDIANA INC,General Pediatrician,38 - EPSDT Services,40,3102,685
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,206,13283,576
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,84,5798,54
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,06 - Physician Services,664,72618,37
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,06 - Physician Services,28,5855,2206
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,06 - Physician Services,1052,111963,418
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,12 - X-Ray Services,28,1328,1635
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,38 - EPSDT Services,27,2382,131
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,142,12019,87
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,06 - Physician Services,938,98559,184
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,06 - Physician Services,511,70099,631
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,241,37345,369
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,06 - Physician Services,58,4524,556
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,383,27488,204
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,36,3187,47
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,766,82221,42
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,38 - EPSDT Services,39,3344,1861
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,1215,114298,99
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,12 - X-Ray Services,44,1422,101
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,38 - EPSDT Services,47,3898,25
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,178,19717,282
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,2157,206106,263
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,12 - X-Ray Services,64,3339,34
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,38 - EPSDT Services,48,4171,1159
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,06 - Physician Services,62,2345,225
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,182,12871,140
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,06 - Physician Services,877,75739,1460
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,741,105861,473
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,12 - X-Ray Services,52,5401,338
COMMUNITY PHYSICIANS OF INDIANA INC,General Pediatrician,06 - Physician Services,4590,500915,573
COMMUNITY PHYSICIANS OF INDIANA INC,General Pediatrician,12 - X-Ray Services,52,3428,1130
COMMUNITY PHYSICIANS OF INDIANA INC,General Pediatrician,38 - EPSDT Services,154,13387,25
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,107,3636,205
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,685,78324,112
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,12 - X-Ray Services,29,1794,1145
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,38 - EPSDT Services,35,3002,30
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,06 - Physician Services,55,16904,125
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,90,3015,915
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,370,18037,70
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,531,25696,1508
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,181,10101,578
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,536,30719,64
COMMUNITY PHYSICIANS OF INDIANA INC,General Pediatrician,06 - Physician Services,91,6650,92
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,06 - Physician Services,193,31179,27
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,12 - X-Ray Services,37,4469,31
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,06 - Physician Services,671,75182,264
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,12 - X-Ray Services,119,9209,113
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,412,22971,741
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,113,7610,437
COMMUNITY PHYSICIANS OF INDIANA INC,General Pediatrician,06 - Physician Services,658,50749,444
COMMUNITY PHYSICIANS OF INDIANA INC,General Pediatrician,38 - EPSDT Services,123,10427,518
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,06 - Physician Services,412,57759,114
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,12 - X-Ray Services,35,3099,356
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,06 - Physician Services,195,35004,77
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,34,1238,339
COMMUNITY PHYSICIANS OF INDIANA INC,"Otologist, Laryngologist, Rhinologist                                                               ",06 - Physician Services,300,25182,25
COMMUNITY PHYSICIANS OF INDIANA INC,"Otologist, Laryngologist, Rhinologist                                                               ",06 - Physician Services,410,31521,297
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,471,27683,28
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,12 - X-Ray Services,32,441,39
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,1255,114029,106
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,12 - X-Ray Services,40,1637,53
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,7379,450953,51
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,12 - X-Ray Services,38,998,558
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,38 - EPSDT Services,21,1826,425
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,288,17513,21
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,12 - X-Ray Services,27,403,86
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,73,4100,416
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,06 - Physician Services,394,59512,1205
COMMUNITY PHYSICIANS OF INDIANA INC,Neonatologist,06 - Physician Services,507,49104,174
COMMUNITY PHYSICIANS OF INDIANA INC,Psychiatrist,06 - Physician Services,616,87041,37
COMMUNITY PHYSICIANS OF INDIANA INC,Psychiatrist,11 - Lab Services,64,8090,558
COMMUNITY PHYSICIANS OF INDIANA INC,Psychiatrist,12 - X-Ray Services,32,3524,87
COMMUNITY PHYSICIANS OF INDIANA INC,Psychiatrist,26 - Mental Health Services,600,66781,22
COMMUNITY PHYSICIANS OF INDIANA INC,Psychiatrist,38 - EPSDT Services,52,4510,148
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,147,12258,173
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,06 - Physician Services,45,3336,540
COMMUNITY PHYSICIANS OF INDIANA INC,Orthopedic Surgeon,06 - Physician Services,110,16164,951
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,06 - Physician Services,456,40405,4603
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,12 - X-Ray Services,184,14312,158
COMMUNITY PHYSICIANS OF INDIANA INC,General Pediatrician,06 - Physician Services,890,100099,154
COMMUNITY PHYSICIANS OF INDIANA INC,General Pediatrician,12 - X-Ray Services,35,1761,81
COMMUNITY PHYSICIANS OF INDIANA INC,General Pediatrician,38 - EPSDT Services,28,2462,102
COMMUNITY PHYSICIANS OF INDIANA INC,Neonatologist,06 - Physician Services,127,35575,59
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,436,29325,725
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,12 - X-Ray Services,37,262,379
COMMUNITY PHYSICIANS OF INDIANA INC,Orthopedic Surgeon,06 - Physician Services,152,17135,118
COMMUNITY PHYSICIANS OF INDIANA INC,Orthopedic Surgeon,12 - X-Ray Services,33,614,118
COMMUNITY PHYSICIANS OF INDIANA INC,Oncologist,06 - Physician Services,205,33965,39
COMMUNITY PHYSICIANS OF INDIANA INC,Orthopedic Surgeon,06 - Physician Services,72,9174,31
COMMUNITY PHYSICIANS OF INDIANA INC,Orthopedic Surgeon,06 - Physician Services,392,35382,633
COMMUNITY PHYSICIANS OF INDIANA INC,Orthopedic Surgeon,12 - X-Ray Services,128,2221,907
COMMUNITY PHYSICIANS OF INDIANA INC,Orthopedic Surgeon,06 - Physician Services,1314,141656,1556
COMMUNITY PHYSICIANS OF INDIANA INC,Orthopedic Surgeon,12 - X-Ray Services,43,1652,39
COMMUNITY PHYSICIANS OF INDIANA INC,Orthopedic Surgeon,38 - EPSDT Services,43,3783,213
COMMUNITY PHYSICIANS OF INDIANA INC,Orthopedic Surgeon,06 - Physician Services,107,18729,124
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,138,18366,103
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,1078,65448,1121
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,38 - EPSDT Services,70,6156,298
COMMUNITY PHYSICIANS OF INDIANA INC,Physical Medicine and Rehabilitation Practitioner,06 - Physician Services,597,66441,754
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,06 - Physician Services,46,5306,147
COMMUNITY PHYSICIANS OF INDIANA INC,Hand Surgeon,06 - Physician Services,907,95506,392
COMMUNITY PHYSICIANS OF INDIANA INC,Hand Surgeon,38 - EPSDT Services,23,2056,77
COMMUNITY PHYSICIANS OF INDIANA INC,Neurological Surgeon,06 - Physician Services,788,74280,326
COMMUNITY PHYSICIANS OF INDIANA INC,Neurological Surgeon,12 - X-Ray Services,25,704,1729
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiologist,06 - Physician Services,105,16790,27
COMMUNITY PHYSICIANS OF INDIANA INC,Hand Surgeon,06 - Physician Services,109,15856,141
COMMUNITY PHYSICIANS OF INDIANA INC,General Surgeon,06 - Physician Services,109,9110,100
COMMUNITY PHYSICIANS OF INDIANA INC,General Surgeon,06 - Physician Services,925,93935,415
COMMUNITY PHYSICIANS OF INDIANA INC,General Surgeon,38 - EPSDT Services,46,3761,201
COMMUNITY PHYSICIANS OF INDIANA INC,Orthopedic Surgeon,06 - Physician Services,1393,144249,35
COMMUNITY PHYSICIANS OF INDIANA INC,Orthopedic Surgeon,12 - X-Ray Services,158,4302,37
COMMUNITY PHYSICIANS OF INDIANA INC,Orthopedic Surgeon,06 - Physician Services,60,4367,1288
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,06 - Physician Services,2150,250429,71
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,12 - X-Ray Services,56,3412,94
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,38 - EPSDT Services,60,5197,42
COMMUNITY PHYSICIANS OF INDIANA INC,General Surgeon,06 - Physician Services,91,10130,461
COMMUNITY PHYSICIANS OF INDIANA INC,Psychiatrist,06 - Physician Services,387,46816,412
COMMUNITY PHYSICIANS OF INDIANA INC,Psychiatrist,11 - Lab Services,81,7202,171
COMMUNITY PHYSICIANS OF INDIANA INC,Psychiatrist,26 - Mental Health Services,301,22827,27
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiovascular Surgeon,06 - Physician Services,206,17183,440
COMMUNITY PHYSICIANS OF INDIANA INC,Orthopedic Surgeon,06 - Physician Services,38,7485,33
COMMUNITY PHYSICIANS OF INDIANA INC,General Surgeon,06 - Physician Services,88,24449,1926
COMMUNITY PHYSICIANS OF INDIANA INC,General Pediatrician,06 - Physician Services,901,91619,29
COMMUNITY PHYSICIANS OF INDIANA INC,General Pediatrician,12 - X-Ray Services,33,2176,113
COMMUNITY PHYSICIANS OF INDIANA INC,General Pediatrician,38 - EPSDT Services,36,3045,236
COMMUNITY PHYSICIANS OF INDIANA INC,General Surgeon,06 - Physician Services,34,4659,1889
COMMUNITY PHYSICIANS OF INDIANA INC,General Surgeon,06 - Physician Services,98,8675,71
COMMUNITY PHYSICIANS OF INDIANA INC,Oncologist,06 - Physician Services,897,89536,682
COMMUNITY PHYSICIANS OF INDIANA INC,Oncologist,12 - X-Ray Services,25,1720,400
COMMUNITY PHYSICIANS OF INDIANA INC,Oncologist,38 - EPSDT Services,23,2021,254
COMMUNITY PHYSICIANS OF INDIANA INC,Neurological Surgeon,06 - Physician Services,94,34135,109
COMMUNITY PHYSICIANS OF INDIANA INC,Psychiatrist,06 - Physician Services,230,35651,571
COMMUNITY PHYSICIANS OF INDIANA INC,Psychiatrist,26 - Mental Health Services,235,21738,86
COMMUNITY PHYSICIANS OF INDIANA INC,Family Practitioner,06 - Physician Services,45,3017,889
COMMUNITY PHYSICIANS OF INDIANA INC,General Pediatrician,06 - Physician Services,176,18923,175
COMMUNITY PHYSICIANS OF INDIANA INC,General Pediatrician,38 - EPSDT Services,31,2632,120
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,06 - Physician Services,208,25335,86
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiologist,06 - Physician Services,1441,127006,65
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiologist,12 - X-Ray Services,35,2907,24
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiologist,38 - EPSDT Services,24,2134,8013
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiovascular Surgeon,06 - Physician Services,40,6397,4445
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiovascular Surgeon,06 - Physician Services,57,5380,603
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiovascular Surgeon,06 - Physician Services,78,17880,68
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,06 - Physician Services,3362,340114,190
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,11 - Lab Services,24,971,138
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,12 - X-Ray Services,137,9545,7688
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,38 - EPSDT Services,128,11033,2029
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiologist,06 - Physician Services,130,20593,118
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiologist,06 - Physician Services,529,25989,5342
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,06 - Physician Services,224,23249,157
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiovascular Surgeon,06 - Physician Services,905,103301,677
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiovascular Surgeon,12 - X-Ray Services,31,1908,194
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiologist,06 - Physician Services,813,88503,435
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiologist,38 - EPSDT Services,23,1980,44
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiovascular Surgeon,06 - Physician Services,96,10293,29
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiologist,06 - Physician Services,1004,113022,71
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiologist,12 - X-Ray Services,35,1530,1114
COMMUNITY PHYSICIANS OF INDIANA INC,Cardiologist,38 - EPSDT Services,30,2651,136
COMMUNITY PHYSICIANS OF INDIANA INC,Gastroenterologist,06 - Physician Services,240,28441,36
COMMUNITY PHYSICIANS OF INDIANA INC,Obstetrician/Gynecologist,06 - Physician Services,51,4833,24
COMMUNITY PHYSICIANS OF INDIANA INC,"Otologist, Laryngologist, Rhinologist                                                               ",06 - Physician Services,647,72156,86
COMMUNITY PHYSICIANS OF INDIANA INC,General Internist,06 - Physician Services,141,11611,146
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,17 - Clinic Services,741,85987,348
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,38 - EPSDT Services,32,2689,150
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,17 - Clinic Services,2160,218522,133
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,38 - EPSDT Services,54,4667,51
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,17 - Clinic Services,126,6403,34
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,17 - Clinic Services,134,5242,26
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,17 - Clinic Services,1025,105047,63
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,38 - EPSDT Services,40,3393,103
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,17 - Clinic Services,43,2857,299
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,17 - Clinic Services,934,104070,486
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,38 - EPSDT Services,22,1847,105
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,17 - Clinic Services,104784,9723899,183
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,38 - EPSDT Services,6683,583308,370
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,17 - Clinic Services,901,93274,155
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,38 - EPSDT Services,23,2035,61
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,17 - Clinic Services,193,9658,697
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,17 - Clinic Services,47,1113,38
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,17 - Clinic Services,42,4219,185
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,17 - Clinic Services,990,107969,187
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,38 - EPSDT Services,27,2346,375
COMMUNITY PHYSICIANS OF INDIANA INC,Medical Clinic,17 - Clinic Services,1014,113713,111
